circuitId,year,circuitRef,name,location,country,lat,long,url
74,2013,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,,http://en.wikipedia.org/wiki/Suzuka_Circuit
75,2013,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
76,2013,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
77,2013,yeongam,Korean International Circuit,Yeongam County,Korea,34.7333,,http://en.wikipedia.org/wiki/Korean_International_Circuit
78,2014,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
79,2014,americas,Circuit of the Americas,Austin,USA,30.1328,,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
80,2014,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
81,2014,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
82,2014,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,,http://en.wikipedia.org/wiki/Hockenheimring
83,2014,hungaroring,Hungaroring,Budapest,Hungary,47.5789,,http://en.wikipedia.org/wiki/Hungaroring
84,2014,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
85,2014,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
86,2014,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,,http://en.wikipedia.org/wiki/Circuit_de_Monaco
87,2014,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
88,2014,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,,http://en.wikipedia.org/wiki/Red_Bull_Ring
89,2014,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,,http://en.wikipedia.org/wiki/Sepang_International_Circuit
90,2014,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
91,2014,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,,http://en.wikipedia.org/wiki/Silverstone_Circuit
92,2014,sochi,Sochi Autodrom,Sochi,Russia,43.4057,,http://en.wikipedia.org/wiki/Sochi_Autodrom
93,2014,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
94,2014,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,,http://en.wikipedia.org/wiki/Suzuka_Circuit
95,2014,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
96,2014,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
