constructorStandingsId,year,round,constructorId,points,position,positionText,wins
596,2012,12,marussia,0,11,11,0
597,2012,12,hrt,0,12,12,0
598,2012,13,red_bull,272,1,1,3
599,2012,13,mclaren,243,2,2,5
600,2012,13,ferrari,226,3,3,3
601,2012,13,lotus_f1,217,4,4,0
602,2012,13,mercedes,126,5,5,1
603,2012,13,sauber,100,6,6,0
604,2012,13,force_india,63,7,7,0
605,2012,13,williams,54,8,8,1
606,2012,13,toro_rosso,12,9,9,0
607,2012,13,caterham,0,10,10,0
608,2012,13,marussia,0,11,11,0
609,2012,13,hrt,0,12,12,0
610,2012,14,red_bull,297,1,1,4
611,2012,14,mclaren,261,2,2,5
612,2012,14,ferrari,245,3,3,3
613,2012,14,lotus_f1,231,4,4,0
614,2012,14,mercedes,136,5,5,1
615,2012,14,sauber,101,6,6,0
616,2012,14,force_india,75,7,7,0
617,2012,14,williams,54,8,8,1
618,2012,14,toro_rosso,14,9,9,0
619,2012,14,marussia,0,10,10,0
620,2012,14,caterham,0,11,11,0
621,2012,14,hrt,0,12,12,0
622,2012,15,red_bull,324,1,1,5
623,2012,15,mclaren,283,2,2,5
624,2012,15,ferrari,263,3,3,3
625,2012,15,lotus_f1,239,4,4,0
626,2012,15,mercedes,136,5,5,1
627,2012,15,sauber,116,6,6,0
628,2012,15,force_india,81,7,7,0
629,2012,15,williams,58,8,8,1
630,2012,15,toro_rosso,15,9,9,0
631,2012,15,marussia,0,10,10,0
632,2012,15,caterham,0,11,11,0
633,2012,15,hrt,0,12,12,0
634,2012,16,red_bull,367,1,1,6
635,2012,16,ferrari,290,2,2,3
636,2012,16,mclaren,284,3,3,5
637,2012,16,lotus_f1,255,4,4,0
638,2012,16,mercedes,136,5,5,1
639,2012,16,sauber,116,6,6,0
640,2012,16,force_india,89,7,7,0
641,2012,16,williams,58,8,8,1
642,2012,16,toro_rosso,21,9,9,0
643,2012,16,marussia,0,10,10,0
644,2012,16,caterham,0,11,11,0
645,2012,16,hrt,0,12,12,0
646,2012,17,red_bull,407,1,1,7
647,2012,17,ferrari,316,2,2,3
648,2012,17,mclaren,306,3,3,5
649,2012,17,lotus_f1,263,4,4,0
650,2012,17,mercedes,136,5,5,1
651,2012,17,sauber,116,6,6,0
